id_test,function_name,array_length,comparison,time,space
109,advanced_sequantial_search,421000,671885,0.3888697624206543,0.0
109,binary_search,421000,55,0.20101189613342285,0.0
110,sequantial_search,441000,368625,0.28736162185668945,0.0
110,advanced_sequantial_search,441000,737249,0.3684959411621094,0.0
110,binary_search,441000,55,0.20152568817138672,0.0
111,sequantial_search,441000,441000,0.3319740295410156,0.0
111,advanced_sequantial_search,441000,164134,0.24147796630859375,0.0
111,binary_search,441000,55,0.2010664939880371,0.0
112,sequantial_search,441000,441000,0.3063068389892578,0.0
112,advanced_sequantial_search,441000,788144,0.38417625427246094,0.0
112,binary_search,441000,55,0.2022082805633545,0.0
113,sequantial_search,441000,415362,0.3000466823577881,0.0
113,advanced_sequantial_search,441000,830723,0.44479966163635254,0.0
113,binary_search,441000,53,0.20095324516296387,0.0
114,sequantial_search,441000,441000,0.30619311332702637,0.0
114,advanced_sequantial_search,441000,437560,0.3160398006439209,0.0
114,binary_search,441000,55,0.20093345642089844,0.0
115,sequantial_search,461000,461000,0.3199436664581299,0.0
115,advanced_sequantial_search,461000,450358,0.31363797187805176,0.0
115,binary_search,461000,55,0.20139002799987793,0.0
116,sequantial_search,461000,36749,0.20904254913330078,0.0
116,advanced_sequantial_search,461000,73497,0.22903847694396973,0.0
116,binary_search,461000,50,0.20100927352905273,0.0
117,sequantial_search,461000,275987,0.27558255195617676,0.0
117,advanced_sequantial_search,461000,551973,0.33449244499206543,0.0
117,binary_search,461000,53,0.2014758586883545,0.0
118,sequantial_search,461000,461000,0.3021278381347656,0.0
118,advanced_sequantial_search,461000,231952,0.26819729804992676,0.0
118,binary_search,461000,55,0.20154833793640137,0.0
119,sequantial_search,461000,461000,0.2997457981109619,0.00390625
119,advanced_sequantial_search,461000,480150,0.30533647537231445,0.0
119,binary_search,461000,55,0.20226430892944336,0.0
120,sequantial_search,481000,82911,0.23515796661376953,0.0
120,advanced_sequantial_search,481000,165821,0.24468469619750977,0.0
120,binary_search,481000,55,0.20184707641601562,0.0
121,sequantial_search,481000,437173,0.3044743537902832,0.0
121,advanced_sequantial_search,481000,874345,0.40099525451660156,0.0
121,binary_search,481000,47,0.20166683197021484,0.0
122,sequantial_search,481000,481000,0.31241512298583984,0.0
122,advanced_sequantial_search,481000,509924,0.3126966953277588,0.0
122,binary_search,481000,55,0.2014915943145752,0.0
123,sequantial_search,481000,481000,0.2901182174682617,0.0
123,advanced_sequantial_search,481000,395678,0.29343342781066895,0.0
123,binary_search,481000,55,0.20264101028442383,0.0
124,sequantial_search,481000,110338,0.23017334938049316,0.0
124,advanced_sequantial_search,481000,220675,0.24361538887023926,0.0
124,binary_search,481000,53,0.20189929008483887,0.0
125,sequantial_search,501000,501000,0.3034675121307373,0.0
125,advanced_sequantial_search,501000,903528,0.37625765800476074,0.0
125,binary_search,501000,55,0.20149922370910645,0.0
126,sequantial_search,501000,501000,0.3128807544708252,0.0
126,advanced_sequantial_search,501000,877100,0.3765285015106201,0.0
126,binary_search,501000,55,0.20089101791381836,0.0
127,sequantial_search,501000,501000,0.31547045707702637,0.0
127,advanced_sequantial_search,501000,223644,0.25835347175598145,0.0
127,binary_search,501000,55,0.20069360733032227,0.0
128,sequantial_search,501000,501000,0.33069443702697754,0.0
128,advanced_sequantial_search,501000,455374,0.3323066234588623,0.0
128,binary_search,501000,55,0.20055913925170898,0.0
129,sequantial_search,501000,250500,0.26347827911376953,0.0
129,advanced_sequantial_search,501000,500999,0.32285189628601074,0.0
129,binary_search,501000,2,0.2012028694152832,0.0
130,sequantial_search,521000,521000,0.3641059398651123,0.0
130,advanced_sequantial_search,521000,146516,0.25508904457092285,0.0
130,binary_search,521000,55,0.20171666145324707,0.0
131,sequantial_search,521000,422139,0.31835269927978516,0.0
131,advanced_sequantial_search,521000,844277,0.38443946838378906,0.0
131,binary_search,521000,55,0.20183825492858887,0.0
132,sequantial_search,521000,521000,0.32636022567749023,0.0
132,advanced_sequantial_search,521000,380336,0.3025681972503662,0.0
132,binary_search,521000,55,0.20177197456359863,0.0
133,sequantial_search,521000,521000,0.36338162422180176,0.0
133,advanced_sequantial_search,521000,964832,0.4173102378845215,0.0
133,binary_search,521000,55,0.20159125328063965,0.0
134,sequantial_search,521000,521000,0.3419644832611084,0.0
134,advanced_sequantial_search,521000,560126,0.33994626998901367,0.0
134,binary_search,521000,55,0.20238113403320312,0.0
135,sequantial_search,541000,541000,0.3796217441558838,0.00390625
135,advanced_sequantial_search,541000,826446,0.393343448638916,0.0
135,binary_search,541000,55,0.20112228393554688,0.0
136,sequantial_search,541000,337984,0.28154420852661133,0.0
136,advanced_sequantial_search,541000,675967,0.37371110916137695,0.0
136,binary_search,541000,55,0.20198297500610352,0.0
137,sequantial_search,541000,78414,0.23189878463745117,0.0
137,advanced_sequantial_search,541000,156827,0.24739623069763184,0.0
137,binary_search,541000,55,0.201401948928833,0.0
138,sequantial_search,541000,541000,0.35936498641967773,0.0
138,advanced_sequantial_search,541000,433126,0.35399436950683594,0.0
138,binary_search,541000,55,0.20119595527648926,0.0
139,sequantial_search,541000,541000,0.33174562454223633,0.0
139,advanced_sequantial_search,541000,35726,0.2144029140472412,0.0
139,binary_search,541000,58,0.2020249366760254,0.0
140,sequantial_search,561000,561000,0.34508705139160156,0.0
140,advanced_sequantial_search,561000,313806,0.2961769104003906,0.0
140,binary_search,561000,55,0.20145511627197266,0.0
141,sequantial_search,561000,561000,0.35509252548217773,0.0
141,advanced_sequantial_search,561000,394660,0.3310391902923584,0.0
141,binary_search,561000,55,0.2014768123626709,0.0
142,sequantial_search,561000,561000,0.3592395782470703,0.0
142,advanced_sequantial_search,561000,734562,0.35867738723754883,0.0
142,binary_search,561000,58,0.20151638984680176,0.0
143,sequantial_search,561000,561000,0.3205709457397461,0.0
143,advanced_sequantial_search,561000,112956,0.24293112754821777,0.0
143,binary_search,561000,58,0.20251917839050293,0.0
144,sequantial_search,561000,403103,0.2800562381744385,0.0
144,advanced_sequantial_search,561000,806205,0.3713805675506592,0.0
144,binary_search,561000,55,0.20200276374816895,0.0
145,sequantial_search,581000,581000,0.3186917304992676,0.0
145,advanced_sequantial_search,581000,147528,0.2506527900695801,0.0
145,binary_search,581000,55,0.20181012153625488,0.0
146,sequantial_search,581000,581000,0.3184990882873535,0.0
146,advanced_sequantial_search,581000,1149706,0.46814727783203125,0.0
146,binary_search,581000,58,0.20142078399658203,0.0
147,sequantial_search,581000,581000,0.3216230869293213,0.0
147,advanced_sequantial_search,581000,1034644,0.42179417610168457,0.0
147,binary_search,581000,55,0.20107483863830566,0.0
148,sequantial_search,581000,581000,0.3288869857788086,0.0
148,advanced_sequantial_search,581000,912506,0.3930962085723877,0.0
148,binary_search,581000,55,0.20201683044433594,0.0
149,sequantial_search,581000,581000,0.32420969009399414,0.0
149,advanced_sequantial_search,581000,459510,0.3019700050354004,0.0
149,binary_search,581000,55,0.20206546783447266,0.0
150,sequantial_search,601000,601000,0.31351423263549805,0.0
150,advanced_sequantial_search,601000,870714,0.4008176326751709,0.0
150,binary_search,601000,55,0.20244574546813965,0.0
151,sequantial_search,601000,601000,0.31342434883117676,0.00390625
151,advanced_sequantial_search,601000,381160,0.2749357223510742,0.0
151,binary_search,601000,58,0.20147991180419922,0.0
152,sequantial_search,601000,601000,0.3227992057800293,0.0
152,advanced_sequantial_search,601000,648476,0.3447422981262207,0.0
152,binary_search,601000,55,0.20214438438415527,0.0
153,sequantial_search,601000,601000,0.32138919830322266,0.0
153,advanced_sequantial_search,601000,386764,0.28553342819213867,0.0
153,binary_search,601000,55,0.20230674743652344,0.0
154,sequantial_search,601000,601000,0.32904672622680664,0.0
154,advanced_sequantial_search,601000,43394,0.21001982688903809,0.0
154,binary_search,601000,55,0.20171165466308594,0.0
155,sequantial_search,621000,621000,0.31582212448120117,0.0
155,advanced_sequantial_search,621000,545010,0.3067138195037842,0.0
155,binary_search,621000,55,0.20205378532409668,0.0
156,sequantial_search,621000,621000,0.3164958953857422,0.0
156,advanced_sequantial_search,621000,218868,0.24439692497253418,0.0
156,binary_search,621000,55,0.20126605033874512,0.0
157,sequantial_search,621000,621000,0.305391788482666,0.0
157,advanced_sequantial_search,621000,17098,0.20652318000793457,0.0
157,binary_search,621000,55,0.20219802856445312,0.0
158,sequantial_search,621000,613255,0.3279151916503906,0.0
158,advanced_sequantial_search,621000,1226509,0.43378114700317383,0.0
158,binary_search,621000,56,0.20151472091674805,0.0
159,sequantial_search,621000,621000,0.31766343116760254,0.0
159,advanced_sequantial_search,621000,672170,0.3592033386230469,0.0
159,binary_search,621000,55,0.202683687210083,0.0
160,sequantial_search,641000,641000,0.335371732711792,0.0
160,advanced_sequantial_search,641000,876304,0.37027907371520996,0.0
160,binary_search,641000,58,0.20186305046081543,0.0
161,sequantial_search,641000,641000,0.3341038227081299,0.0
161,advanced_sequantial_search,641000,894328,0.4222414493560791,0.0
161,binary_search,641000,58,0.2014751434326172,0.0
162,sequantial_search,641000,641000,0.3353848457336426,0.0
162,advanced_sequantial_search,641000,412208,0.30490946769714355,0.0
162,binary_search,641000,55,0.20184326171875,0.0
163,sequantial_search,641000,258786,0.2513313293457031,0.0
